hardware,embedding_index,horizon,method,time,result
rochester,56,3,bellman,0.019100,1
rochester,57,3,bellman,0.019200,1
rochester,58,3,bellman,0.019740,1
rochester,59,3,bellman,0.020310,1
rochester,60,3,bellman,0.021020,1
rochester,61,3,bellman,0.021710,1
rochester,62,3,bellman,0.021970,1
rochester,63,3,bellman,0.022700,1
rochester,64,3,bellman,0.021580,1
rochester,65,3,bellman,0.021060,1
rochester,66,3,bellman,0.022910,1
rochester,67,3,bellman,0.020830,1
rochester,68,3,bellman,0.022200,1
rochester,69,3,bellman,0.022110,1
rochester,70,3,bellman,0.022630,1
rochester,71,3,bellman,0.023190,1
rochester,72,3,bellman,0.023740,1
rochester,73,3,bellman,0.023370,1
rochester,74,3,bellman,0.023850,1
rome,0,3,bellman,0.006360,1
rome,1,3,bellman,0.006520,1
rome,2,3,bellman,0.007060,1
vigo,0,3,bellman,0.006060,1
vigo,1,3,bellman,0.006250,1
vigo,2,3,bellman,0.006650,1
vigo,3,3,bellman,0.006970,1
belem,0,3,bellman,0.006200,1
belem,1,3,bellman,0.006390,1
belem,2,3,bellman,0.006590,1
belem,3,3,bellman,0.007440,1
brooklyn,0,3,bellman,0.006400,1
brooklyn,1,3,bellman,0.007450,1
brooklyn,2,3,bellman,0.010020,1
brooklyn,3,3,bellman,0.006800,1
brooklyn,4,3,bellman,0.007140,1
brooklyn,5,3,bellman,0.007510,1
brooklyn,6,3,bellman,0.008930,1
brooklyn,7,3,bellman,0.008190,1
brooklyn,8,3,bellman,0.009060,1
brooklyn,9,3,bellman,0.011380,1
brooklyn,10,3,bellman,0.008480,1
brooklyn,11,3,bellman,0.008860,1
brooklyn,12,3,bellman,0.009020,1
brooklyn,13,3,bellman,0.009630,1
brooklyn,14,3,bellman,0.009850,1
brooklyn,15,3,bellman,0.011560,1
brooklyn,16,3,bellman,0.011040,1
brooklyn,17,3,bellman,0.012050,1
brooklyn,18,3,bellman,0.012330,1
brooklyn,19,3,bellman,0.013590,1
brooklyn,20,3,bellman,0.013280,1
brooklyn,21,3,bellman,0.011600,1
brooklyn,22,3,bellman,0.011710,1
brooklyn,23,3,bellman,0.012890,1
brooklyn,24,3,bellman,0.012030,1
brooklyn,25,3,bellman,0.013200,1
brooklyn,26,3,bellman,0.015940,1
brooklyn,27,3,bellman,0.012530,1
