,hardware,embedding_index,horizon,probability_opt,perfect_opt,hardware_scenario,diff
777,brooklyn,100,1,0.49688,0.49595,brooklyn_100,0.0009299999999999864
780,brooklyn,101,1,0.49688,0.49375,brooklyn_101,0.003129999999999966
781,brooklyn,102,1,0.49776,0.49375,brooklyn_102,0.004009999999999958
784,brooklyn,103,1,0.49776,0.49652,brooklyn_103,0.0012399999999999634
785,brooklyn,104,1,0.49692,0.49652,brooklyn_104,0.00039999999999995595
788,brooklyn,105,1,0.49692,0.49624,brooklyn_105,0.0006799999999999584
789,brooklyn,106,1,0.49676,0.49624,brooklyn_106,0.0005199999999999649
792,brooklyn,107,1,0.49676,0.49652,brooklyn_107,0.00023999999999996247
793,brooklyn,108,1,0.49776,0.49652,brooklyn_108,0.0012399999999999634
796,brooklyn,109,1,0.49776,0.49397,brooklyn_109,0.00378999999999996
797,brooklyn,110,1,0.49616,0.49397,brooklyn_110,0.0021899999999999697
800,brooklyn,112,1,0.49676,0.49669,brooklyn_112,6.999999999995898e-05
803,brooklyn,113,1,0.49676,0.49669,brooklyn_113,6.999999999995898e-05
806,brooklyn,114,1,0.49716,0.49595,brooklyn_114,0.0012099999999999889
809,brooklyn,115,1,0.49716,0.49595,brooklyn_115,0.0012099999999999889
812,brooklyn,116,1,0.49728,0.49656,brooklyn_116,0.0007199999999999984
815,brooklyn,117,1,0.49728,0.49656,brooklyn_117,0.0007199999999999984
818,brooklyn,120,1,0.49672,0.48495,brooklyn_120,0.011770000000000003
821,brooklyn,122,1,0.49728,0.49686,brooklyn_122,0.00041999999999997595
824,brooklyn,123,1,0.49728,0.48495,brooklyn_123,0.012330000000000008
825,brooklyn,124,1,0.49224,0.48503,brooklyn_124,0.007209999999999994
828,brooklyn,126,1,0.49684,0.49683,brooklyn_126,1.0000000000010001e-05
831,brooklyn,127,1,0.49684,0.48503,brooklyn_127,0.011809999999999987
832,brooklyn,128,1,0.49688,0.49523,brooklyn_128,0.0016499999999999848
835,brooklyn,129,1,0.49688,0.49523,brooklyn_129,0.0016499999999999848
838,brooklyn,130,1,0.4972,0.49523,brooklyn_130,0.0019699999999999718
841,brooklyn,131,1,0.4972,0.49523,brooklyn_131,0.0019699999999999718
844,brooklyn,132,1,0.49752,0.49745,brooklyn_132,7.00000000000145e-05
847,brooklyn,133,1,0.49752,0.49745,brooklyn_133,7.00000000000145e-05
850,brooklyn,136,1,0.49752,0.49739,brooklyn_136,0.000130000000000019
853,brooklyn,137,1,0.49752,0.49739,brooklyn_137,0.000130000000000019
